Component Positions Report
--------------------------

Report File:    C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard (Component Positions).txt
Report Written: Thursday, December 08, 2016
Project Path:   C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.prj
Design Path:    C:\Users\Bryan\Documents\Trabajo\ImagineXYZ\HarwareDevelopment\Git\ZeusBoard\PCBs\ZeusBoard\ZeusBoard.pcb
Design Title:
Created:        10/11/2016 10:51:27 a.m.
Last Saved:     08/12/2016 11:55:58 a.m.
Editing Time:   5161 min
Units:          mm (precision 3)

Name      Component                     Side                    Centre X    Centre Y  Rotation
CC4       GRM188R60J105KA01D            Top                       42.359      64.668      0.00
CC1       GRM188R60J106ME47D            Top                       29.194      51.187     90.00
CD1       GRM188R60J106ME47D            Bottom                    24.599      84.924    180.00
CD3       GRM188R60J106ME47D            Bottom                    22.063      80.803    270.00
CPWR2     GRM188R60J106ME47D            Top                       46.804      81.286      0.00
CR5       GRM188R60J475KE19D            Top                       33.253      39.276      0.00
CPWR1     GRM188R61C106MAALD            Top                       34.231      84.080     90.00
CB2       GRM188R70J104KA01D            Bottom                    28.276      22.539    270.00
CC2       GRM188R70J104KA01D            Top                       29.194      53.092     90.00
CC3       GRM188R70J104KA01D            Top                       40.708      64.668      0.00
CC5       GRM188R70J104KA01D            Top                       44.518      64.668      0.00
CC6       GRM188R70J104KA01D            Top                       39.692      46.060    180.00
CC9       GRM188R70J104KA01D            Top                       29.132      55.378    270.00
CC10      GRM188R70J104KA01D            Top                       50.466      59.628    270.00
CI1       GRM188R70J104KA01D            Top                       49.991      15.882      0.00
CI2       GRM188R70J104KA01D            Top                       55.824      16.896      0.00
CM1       GRM188R70J104KA01D            Bottom                    79.757      39.657    180.00
CR4       GRM188R70J104KA01D            Bottom                    40.703      45.838    270.00
DPWR2     HT-193USD-5590                Top                       15.689      86.620      0.00
LD1       IHLP1212AEERR47M11            Bottom                    20.890      87.460    180.00
JST1      JST_S2B-PH-K-S                Top                       27.897      87.953      0.00
CPWR4     KR-5R5C105-R                  Top                       65.156      73.071    270.00
U11       Logo_ImagineXYZ_0.5           Top                       66.257       6.720      0.00
U12       Logo_ImagineXYZ_0.5           Bottom                    72.815      78.422     90.00
U7        MCP73831T-2ACI/OT             Top                       20.579      87.321     90.00
U3        MDBT40                        Bottom                    15.635      17.145     90.00
JB1       PCB_Selector3P                Bottom                    32.239      18.164     90.00
RD1       RK73H1JTTD4023F               Bottom                    13.124      86.858    180.00
U5        S70FL01GSAGFI011              Bottom                    71.650      37.979     90.00
U1        SAMD21                        Top                       40.454      55.124    270.00
U2        SIM808                        Top                       20.525      30.590     90.00
SW1       SS-12D07-VG 4 NS GA PA        Top                       64.045      86.715      0.00
XBT1      ST3215SB32768E0HPWBB          Bottom                    20.827      25.011      0.00
XTC1      ST3215SB32768E0HPWBB          Top                       32.524      58.772    270.00
U9        TPS61021ADSGR                 Bottom                    20.640      83.827    270.00
CON1      U.FL-R-SMT-1(01)              Top                       25.636      15.785    180.00
CON2      U.FL-R-SMT-1(01)              Top                        4.690      38.674     90.00
CON3      U.FL-R-SMT-1(01)              Top                       12.575      15.690    180.00
CR2       VJ0603A330JXQCW1BC            Top                       23.315      48.002     90.00
U10       ZeusBoard_Logo_Scale0.1       Top                       11.380      68.345    270.00
----------------------------------------------------------------------------------------------
